Name_N,RA(deg),DEC(deg),Type_N,Name_S,RA_d,DEC_d,Type_S,exactMatch
NGC 5236:[SL2011] 1_254,204.28625,-29.82531,*Cl,[SL2011] NGC 5236 1 254,204.28625,-29.825314,Cl*?,False
NGC 5236:[SL2011] 1_255,204.28492,-29.8248,*Cl,[SL2011] NGC 5236 1 255,204.284917,-29.824797,Cl*?,False
NGC 5236:[SL2011] 1_256,204.27729,-29.82146,*Cl,[SL2011] NGC 5236 1 256,204.277292,-29.821461,Cl*?,False
NGC 5236:[SL2011] 1_257,204.28775,-29.8253,*Cl,[SL2011] NGC 5236 1 257,204.28775,-29.8253,Cl*?,False
NGC 5236:[SL2011] 1_258,204.24437,-29.80847,*Cl,[SL2011] NGC 5236 1 258,204.244375,-29.808469,Cl*?,False
NGC 5236:[SL2011] 1_259,204.28225,-29.82241,*Cl,[SL2011] NGC 5236 1 259,204.28225,-29.822411,Cl*?,False
NGC 5236:[SL2011] 1_260,204.24271,-29.80658,*Cl,[SL2011] NGC 5236 1 260,204.242708,-29.806581,Cl*?,False
NGC 5236:[SL2011] 1_261,204.27667,-29.81919,*Cl,[SL2011] NGC 5236 1 261,204.276667,-29.819192,Cl*?,False
NGC 5236:[SL2011] 1_262,204.27817,-29.81811,*Cl,[SL2011] NGC 5236 1 262,204.278167,-29.818111,Cl*?,False
NGC 5236:[SL2011] 1_263,204.24454,-29.80431,*Cl,[SL2011] NGC 5236 1 263,204.244542,-29.804306,Cl*?,False
NGC 5236:[SL2011] 1_264,204.25042,-29.80617,*Cl,[SL2011] NGC 5236 1 264,204.250417,-29.806169,Cl*?,False
NGC 5236:[SL2011] 1_265,204.28283,-29.81791,*Cl,[SL2011] NGC 5236 1 265,204.282833,-29.817914,Cl*?,False
NGC 5236:[SL2011] 1_266,204.25242,-29.80599,*Cl,[SL2011] NGC 5236 1 266,204.252417,-29.805994,Cl*?,False
NGC 5236:[SL2011] 1_267,204.28321,-29.81716,*Cl,[SL2011] NGC 5236 1 267,204.283208,-29.817158,Cl*?,False
NGC 5236:[SL2011] 1_268,204.23075,-29.79715,*Cl,[SL2011] NGC 5236 1 268,204.23075,-29.797147,Cl*?,False
NGC 5236:[SL2011] 1_269,204.28358,-29.81634,*Cl,[SL2011] NGC 5236 1 269,204.283583,-29.816342,Cl*?,False
NGC 5236:[SL2011] 1_270,204.29137,-29.81921,*Cl,[SL2011] NGC 5236 1 270,204.291375,-29.819206,Cl*?,False
NGC 5236:[SL2011] 1_271,204.29167,-29.81871,*Cl,[SL2011] NGC 5236 1 271,204.291667,-29.818711,Cl*?,False
NGC 5236:[SL2011] 1_272,204.28583,-29.81652,*Cl,[SL2011] NGC 5236 1 272,204.285833,-29.816525,Cl*?,False
NGC 5236:[SL2011] 1_273,204.25104,-29.80213,*Cl,[SL2011] NGC 5236 1 273,204.251042,-29.802125,Cl*?,False
NGC 5236:[SL2011] 1_274,204.25471,-29.80341,*Cl,[SL2011] NGC 5236 1 274,204.254708,-29.803408,Cl*?,False
NGC 5236:[SL2011] 1_275,204.28379,-29.81374,*Cl,[SL2011] NGC 5236 1 275,204.283792,-29.813739,Cl*?,False
NGC 5236:[SL2011] 1_276,204.28275,-29.81322,*Cl,[SL2011] NGC 5236 1 276,204.28275,-29.813219,Cl*?,False
NGC 5236:[SL2011] 1_277,204.29267,-29.81691,*Cl,[SL2011] NGC 5236 1 277,204.292667,-29.816906,Cl*?,False
NGC 5236:[SL2011] 1_278,204.27437,-29.80973,*Cl,[SL2011] NGC 5236 1 278,204.274375,-29.809728,Cl*?,False
NGC 5236:[SL2011] 1_279,204.29008,-29.81488,*Cl,[SL2011] NGC 5236 1 279,204.290083,-29.814883,Cl*?,False
NGC 5236:[SL2011] 1_280,204.2835,-29.81233,*Cl,[SL2011] NGC 5236 1 280,204.2835,-29.812333,Cl*?,False
NGC 5236:[SL2011] 1_281,204.28088,-29.81129,*Cl,[SL2011] NGC 5236 1 281,204.280875,-29.811294,Cl*?,False
NGC 5236:[SL2011] 1_282,204.27633,-29.80829,*Cl,[SL2011] NGC 5236 1 282,204.276333,-29.808294,Cl*?,False
NGC 5236:[SL2011] 1_283,204.2785,-29.80873,*Cl,[SL2011] NGC 5236 1 283,204.2785,-29.808731,Cl*?,False
NGC 5236:[SL2011] 1_284,204.27196,-29.8059,*Cl,[SL2011] NGC 5236 1 284,204.271958,-29.8059,Cl*?,False
NGC 5236:[SL2011] 1_285,204.28821,-29.8113,*Cl,[SL2011] NGC 5236 1 285,204.288208,-29.811303,Cl*?,False
NGC 5236:[SL2011] 1_286,204.2635,-29.86088,*Cl,[WCK2011] 79,204.2634717,-29.8608742,Cl*,False
NGC 5236:[SL2011] 1_287,204.24638,-29.85392,*Cl,[SL2011] NGC 5236 1 287,204.246375,-29.853922,Cl*?,False
NGC 5236:[SL2011] 1_288,204.2415,-29.85115,*Cl,[SL2011] NGC 5236 1 288,204.2415,-29.851153,Cl*?,False
NGC 5236:[SL2011] 1_289,204.23742,-29.84682,*Cl,[SL2011] NGC 5236 1 289,204.237417,-29.846819,Cl*?,False
NGC 5236:[SL2011] 1_290,204.23746,-29.84598,*Cl,[SL2011] NGC 5236 1 290,204.237458,-29.845981,Cl*?,False
NGC 5236:[SL2011] 1_291,204.24692,-29.84919,*Cl,[SL2011] NGC 5236 1 291,204.246917,-29.849186,Cl*?,False
NGC 5236:[SL2011] 1_292,204.23771,-29.84495,*Cl,[SL2011] NGC 5236 1 292,204.237708,-29.84495,Cl*?,False
NGC 5236:[SL2011] 1_293,204.24296,-29.84574,*Cl,[SL2011] NGC 5236 1 293,204.242958,-29.845742,Cl*?,False
NGC 5236:[SL2011] 1_294,204.24008,-29.84336,*Cl,[SL2011] NGC 5236 1 294,204.240083,-29.843356,Cl*?,False
NGC 5236:[SL2011] 1_295,204.23917,-29.84292,*Cl,[SL2011] NGC 5236 1 295,204.239167,-29.842922,Cl*?,False
NGC 5236:[SL2011] 1_296,204.24525,-29.84361,*Cl,[SL2011] NGC 5236 1 296,204.24525,-29.843614,Cl*?,False
NGC 5236:[SL2011] 1_297,204.23575,-29.83988,*Cl,[SL2011] NGC 5236 1 297,204.23575,-29.839878,Cl*?,False
NGC 5236:[SL2011] 1_298,204.23392,-29.83906,*Cl,[SL2011] NGC 5236 1 298,204.233917,-29.839056,Cl*?,False
NGC 5236:[SL2011] 1_299,204.23696,-29.83847,*Cl,[SL2011] NGC 5236 1 299,204.236958,-29.838467,Cl*?,False
NGC 5236:[SL2011] 1_300,204.23904,-29.83919,*Cl,[SL2011] NGC 5236 1 300,204.239042,-29.839189,Cl*?,False
NGC 5236:[SL2011] 1_301,204.26212,-29.84758,*Cl,[WCK2011] 22,204.26215,-29.84745,Cl*,False
NGC 5236:[SL2011] 1_302,204.23763,-29.8384,*Cl,[SL2011] NGC 5236 1 302,204.237625,-29.838403,Cl*?,False
NGC 5236:[SL2011] 1_303,204.23996,-29.83906,*Cl,[SL2011] NGC 5236 1 303,204.239958,-29.839061,Cl*?,False
NGC 5236:[SL2011] 1_304,204.24271,-29.83971,*Cl,[SL2011] NGC 5236 1 304,204.242708,-29.839711,Cl*?,False
NGC 5236:[SL2011] 1_305,204.24179,-29.83931,*Cl,[SL2011] NGC 5236 1 305,204.241792,-29.839306,Cl*?,False
NGC 5236:[SL2011] 1_306,204.23971,-29.83779,*Cl,[SL2011] NGC 5236 1 306,204.239708,-29.837786,Cl*?,False
NGC 5236:[SL2011] 1_307,204.2345,-29.83502,*Cl,[SL2011] NGC 5236 1 307,204.2345,-29.835022,Cl*?,False
NGC 5236:[SL2011] 1_308,204.24133,-29.83741,*Cl,[SL2011] NGC 5236 1 308,204.241333,-29.837411,Cl*?,False
NGC 5236:[SL2011] 1_309,204.25571,-29.84249,*Cl,[SL2011] NGC 5236 1 309,204.255708,-29.842492,Cl*?,False
NGC 5236:[SL2011] 1_310,204.23521,-29.83397,*Cl,[SL2011] NGC 5236 1 310,204.235208,-29.833967,Cl*?,False
NGC 5236:[SL2011] 1_311,204.23308,-29.83301,*Cl,[SL2011] NGC 5236 1 311,204.233083,-29.833008,Cl*?,False
NGC 5236:[SL2011] 1_312,204.23475,-29.83249,*Cl,[SL2011] NGC 5236 1 312,204.23475,-29.832489,Cl*?,False
NGC 5236:[SL2011] 1_313,204.24287,-29.83549,*Cl,[SL2011] NGC 5236 1 313,204.242875,-29.835486,Cl*?,False
NGC 5236:[SL2011] 1_314,204.23413,-29.83221,*Cl,[SL2011] NGC 5236 1 314,204.234125,-29.832214,Cl*?,False
NGC 5236:[SL2011] 1_315,204.23571,-29.83266,*Cl,[SL2011] NGC 5236 1 315,204.235708,-29.832664,Cl*?,False
NGC 5236:[SL2011] 1_316,204.23758,-29.83326,*Cl,[SL2011] NGC 5236 1 316,204.237583,-29.833258,Cl*?,False
NGC 5236:[SL2011] 1_317,204.24721,-29.83659,*Cl,[SL2011] NGC 5236 1 317,204.247208,-29.836589,Cl*?,False
NGC 5236:[SL2011] 1_318,204.23217,-29.83068,*Cl,[SL2011] NGC 5236 1 318,204.232167,-29.830678,Cl*?,False
NGC 5236:[SL2011] 1_319,204.24283,-29.83421,*Cl,[SL2011] NGC 5236 1 319,204.242833,-29.834206,Cl*?,False
NGC 5236:[SL2011] 1_320,204.23313,-29.83047,*Cl,[SL2011] NGC 5236 1 320,204.233125,-29.830467,Cl*?,False
NGC 5236:[SL2011] 1_321,204.23783,-29.83213,*Cl,[SL2011] NGC 5236 1 321,204.237833,-29.832125,Cl*?,False
NGC 5236:[SL2011] 1_322,204.23825,-29.83205,*Cl,[SL2011] NGC 5236 1 322,204.23825,-29.83205,Cl*?,False
NGC 5236:[SL2011] 1_323,204.23296,-29.83005,*Cl,[SL2011] NGC 5236 1 323,204.232958,-29.830053,Cl*?,False
NGC 5236:[SL2011] 1_324,204.23737,-29.83132,*Cl,[SL2011] NGC 5236 1 324,204.237375,-29.831322,Cl*?,False
NGC 5236:[SL2011] 1_325,204.23354,-29.82988,*Cl,[SL2011] NGC 5236 1 325,204.233542,-29.829875,Cl*?,False
NGC 5236:[SL2011] 1_326,204.23429,-29.82979,*Cl,[SL2011] NGC 5236 1 326,204.234292,-29.829792,Cl*?,False
NGC 5236:[SL2011] 1_327,204.24125,-29.8321,*Cl,[SL2011] NGC 5236 1 327,204.24125,-29.832103,Cl*?,False
NGC 5236:[SL2011] 1_328,204.24108,-29.83203,*Cl,[SL2011] NGC 5236 1 328,204.241083,-29.832025,Cl*?,False
NGC 5236:[SL2011] 1_329,204.25754,-29.83779,*Cl,[SL2011] NGC 5236 1 329,204.257542,-29.837792,Cl*?,False
NGC 5236:[SL2011] 1_331,204.25338,-29.83517,*Cl,[SL2011] NGC 5236 1 331,204.253375,-29.835175,Cl*?,False
NGC 5236:[SL2011] 1_332,204.24383,-29.83143,*Cl,[SL2011] NGC 5236 1 332,204.243833,-29.831431,Cl*?,False
NGC 5236:[SL2011] 1_333,204.2475,-29.83232,*Cl,[SL2011] NGC 5236 1 333,204.2475,-29.832319,Cl*?,False
NGC 5236:[SL2011] 1_334,204.24625,-29.83184,*Cl,[SL2011] NGC 5236 1 334,204.24625,-29.831836,Cl*?,False
NGC 5236:[SL2011] 1_335,204.24638,-29.83132,*Cl,[SL2011] NGC 5236 1 335,204.246375,-29.831325,Cl*?,False
NGC 5236:[SL2011] 1_336,204.25913,-29.83598,*Cl,[SL2011] NGC 5236 1 336,204.259125,-29.835983,Cl*?,False
NGC 5236:[SL2011] 1_337,204.23937,-29.82815,*Cl,[SL2011] NGC 5236 1 337,204.239375,-29.828153,Cl*?,False
NGC 5236:[SL2011] 1_338,204.25529,-29.83404,*Cl,[SL2011] NGC 5236 1 338,204.255292,-29.834044,Cl*?,False
NGC 5236:[SL2011] 1_339,204.24508,-29.82987,*Cl,[SL2011] NGC 5236 1 339,204.245083,-29.829872,Cl*?,False
NGC 5236:[SL2011] 1_340,204.25125,-29.83212,*Cl,[SL2011] NGC 5236 1 340,204.25125,-29.832117,Cl*?,False
NGC 5236:[SL2011] 1_341,204.24154,-29.82814,*Cl,[SL2011] NGC 5236 1 341,204.241542,-29.828144,Cl*?,False
NGC 5236:[SL2011] 1_342,204.25979,-29.8345,*Cl,[SL2011] NGC 5236 1 342,204.259792,-29.8345,Cl*?,False
NGC 5236:[SL2011] 1_343,204.24221,-29.82777,*Cl,[SL2011] NGC 5236 1 343,204.242208,-29.827775,Cl*?,False
NGC 5236:[SL2011] 1_344,204.25104,-29.83067,*Cl,[SL2011] NGC 5236 1 344,204.251042,-29.830667,Cl*?,False
NGC 5236:[SL2011] 1_345,204.24671,-29.82872,*Cl,[SL2011] NGC 5236 1 345,204.246708,-29.828722,Cl*?,False
NGC 5236:[SL2011] 1_346,204.23575,-29.82434,*Cl,[SL2011] NGC 5236 1 346,204.23575,-29.824344,Cl*?,False
NGC 5236:[SL2011] 1_347,204.24642,-29.828,*Cl,[SL2011] NGC 5236 1 347,204.246417,-29.828,Cl*?,False
NGC 5236:[SL2011] 1_348,204.23279,-29.82286,*Cl,[SL2011] NGC 5236 1 348,204.232792,-29.822864,Cl*?,False
NGC 5236:[SL2011] 1_349,204.25354,-29.83008,*Cl,[SL2011] NGC 5236 1 349,204.253542,-29.830078,Cl*?,False
NGC 5236:[SL2011] 1_350,204.26133,-29.83277,*Cl,[SL2011] NGC 5236 1 350,204.261333,-29.832767,Cl*?,False
NGC 5236:[SL2011] 1_351,204.24746,-29.82756,*Cl,[SL2011] NGC 5236 1 351,204.247458,-29.827561,Cl*?,False
NGC 5236:[SL2011] 1_352,204.2245,-29.81893,*Cl,[SL2011] NGC 5236 1 352,204.2245,-29.818928,Cl*?,False
NGC 5236:[SL2011] 1_353,204.22479,-29.81901,*Cl,[SL2011] NGC 5236 1 353,204.224792,-29.819014,Cl*?,False
NGC 5236:[SL2011] 1_354,204.26421,-29.8336,*Cl,[SL2011] NGC 5236 1 354,204.264208,-29.833597,Cl*?,False
NGC 5236:[SL2011] 1_355,204.23446,-29.82204,*Cl,[SL2011] NGC 5236 1 355,204.234458,-29.822044,Cl*?,False
NGC 5236:[SL2011] 1_356,204.22442,-29.81799,*Cl,[SL2011] NGC 5236 1 356,204.224417,-29.817994,Cl*?,False
NGC 5236:[SL2011] 1_357,204.24704,-29.8263,*Cl,[SL2011] NGC 5236 1 357,204.247042,-29.8263,Cl*?,False
NGC 5236:[SL2011] 1_358,204.23783,-29.82252,*Cl,[SL2011] NGC 5236 1 358,204.237833,-29.822522,Cl*?,False
NGC 5236:[SL2011] 1_359,204.25208,-29.82767,*Cl,[SL2011] NGC 5236 1 359,204.252083,-29.827669,Cl*?,False
NGC 5236:[SL2011] 1_360,204.25012,-29.82691,*Cl,[SL2011] NGC 5236 1 360,204.250125,-29.826911,Cl*?,False
NGC 5236:[SL2011] 1_361,204.22496,-29.81737,*Cl,[SL2011] NGC 5236 1 361,204.224958,-29.817369,Cl*?,False
NGC 5236:[SL2011] 1_362,204.26012,-29.83016,*Cl,[SL2011] NGC 5236 1 362,204.260125,-29.830158,Cl*?,False
NGC 5236:[SL2011] 1_363,204.24267,-29.82358,*Cl,[SL2011] NGC 5236 1 363,204.242667,-29.823581,Cl*?,False
NGC 5236:[SL2011] 1_364,204.24579,-29.82414,*Cl,[SL2011] NGC 5236 1 364,204.245792,-29.824139,Cl*?,False
NGC 5236:[SL2011] 1_365,204.25492,-29.82754,*Cl,[SL2011] NGC 5236 1 365,204.254917,-29.827542,Cl*?,False
NGC 5236:[SL2011] 1_366,204.24442,-29.82339,*Cl,[SL2011] NGC 5236 1 366,204.244417,-29.823392,Cl*?,False
NGC 5236:[SL2011] 1_367,204.25542,-29.82724,*Cl,[SL2011] NGC 5236 1 367,204.255417,-29.827244,Cl*?,False
NGC 5236:[SL2011] 1_368,204.26063,-29.82886,*Cl,[SL2011] NGC 5236 1 368,204.260625,-29.828864,Cl*?,False
NGC 5236:[SL2011] 1_369,204.25725,-29.82713,*Cl,[SL2011] NGC 5236 1 369,204.25725,-29.827128,Cl*?,False
NGC 5236:[SL2011] 1_370,204.2395,-29.82052,*Cl,[SL2011] NGC 5236 1 370,204.2395,-29.820519,Cl*?,False
NGC 5236:[SL2011] 1_371,204.24983,-29.82383,*Cl,[SL2011] NGC 5236 1 371,204.249833,-29.823828,Cl*?,False
NGC 5236:[SL2011] 1_372,204.23329,-29.81726,*Cl,[SL2011] NGC 5236 1 372,204.233292,-29.817264,Cl*?,False
NGC 5236:[SL2011] 1_373,204.25012,-29.82344,*Cl,[SL2011] NGC 5236 1 373,204.250125,-29.823444,Cl*?,False
NGC 5236:[SL2011] 1_374,204.25762,-29.82608,*Cl,[SL2011] NGC 5236 1 374,204.257625,-29.826081,Cl*?,False
NGC 5236:[SL2011] 1_375,204.23767,-29.81797,*Cl,[SL2011] NGC 5236 1 375,204.237667,-29.817969,Cl*?,False
NGC 5236:[SL2011] 1_376,204.25079,-29.82232,*Cl,[SL2011] NGC 5236 1 376,204.250792,-29.822319,Cl*?,False
NGC 5236:[SL2011] 1_377,204.26125,-29.82579,*Cl,[SL2011] NGC 5236 1 377,204.26125,-29.825794,Cl*?,False
NGC 5236:[SL2011] 1_378,204.26583,-29.82739,*Cl,[SL2011] NGC 5236 1 378,204.265833,-29.827392,Cl*?,False
NGC 5236:[SL2011] 1_379,204.25175,-29.82105,*Cl,[SL2011] NGC 5236 1 379,204.25175,-29.821053,Cl*?,False
NGC 5236:[SL2011] 1_380,204.26496,-29.82534,*Cl,[SL2011] NGC 5236 1 380,204.264958,-29.825339,Cl*?,False
NGC 5236:[SL2011] 1_381,204.24329,-29.81699,*Cl,[SL2011] NGC 5236 1 381,204.243292,-29.816992,Cl*?,False
NGC 5236:[SL2011] 1_382,204.25121,-29.81988,*Cl,[SL2011] NGC 5236 1 382,204.251208,-29.819881,Cl*?,False
NGC 5236:[SL2011] 1_383,204.23579,-29.81407,*Cl,[SL2011] NGC 5236 1 383,204.235792,-29.814069,Cl*?,False
NGC 5236:[SL2011] 1_384,204.25775,-29.82138,*Cl,[SL2011] NGC 5236 1 384,204.25775,-29.821378,Cl*?,False
NGC 5236:[SL2011] 1_385,204.26071,-29.82243,*Cl,[SL2011] NGC 5236 1 385,204.260708,-29.822428,Cl*?,False
NGC 5236:[SL2011] 1_386,204.26442,-29.82382,*Cl,[SL2011] NGC 5236 1 386,204.264417,-29.823817,Cl*?,False
NGC 5236:[SL2011] 1_387,204.24787,-29.81731,*Cl,[SL2011] NGC 5236 1 387,204.247875,-29.817308,Cl*?,False
NGC 5236:[SL2011] 1_388,204.25842,-29.82114,*Cl,[SL2011] NGC 5236 1 388,204.258417,-29.821144,Cl*?,False
NGC 5236:[SL2011] 1_389,204.24687,-29.81649,*Cl,[SL2011] NGC 5236 1 389,204.246875,-29.816486,Cl*?,False
NGC 5236:[SL2011] 1_390,204.25213,-29.81766,*Cl,[SL2011] NGC 5236 1 390,204.252125,-29.817656,Cl*?,False
NGC 5236:[SL2011] 1_391,204.26704,-29.82271,*Cl,[SL2011] NGC 5236 1 391,204.267042,-29.822714,Cl*?,False
NGC 5236:[SL2011] 1_392,204.26467,-29.82176,*Cl,[SL2011] NGC 5236 1 392,204.264667,-29.821764,Cl*?,False
NGC 5236:[SL2011] 1_394,204.25871,-29.81943,*Cl,[SL2011] NGC 5236 1 394,204.258708,-29.819431,Cl*?,False
NGC 5236:[SL2011] 1_395,204.2665,-29.82221,*Cl,[SL2011] NGC 5236 1 395,204.2665,-29.822206,Cl*?,False
NGC 5236:[SL2011] 1_396,204.26833,-29.82264,*Cl,[SL2011] NGC 5236 1 396,204.268333,-29.822636,Cl*?,False
NGC 5236:[SL2011] 1_397,204.25725,-29.81847,*Cl,[SL2011] NGC 5236 1 397,204.25725,-29.818472,Cl*?,False
NGC 5236:[SL2011] 1_398,204.24383,-29.8125,*Cl,[SL2011] NGC 5236 1 398,204.243833,-29.812503,Cl*?,False
NGC 5236:[SL2011] 1_399,204.24325,-29.81196,*Cl,[SL2011] NGC 5236 1 399,204.24325,-29.811956,Cl*?,False
NGC 5236:[SL2011] 1_400,204.24892,-29.81401,*Cl,[SL2011] NGC 5236 1 400,204.248917,-29.814011,Cl*?,False
NGC 5236:[SL2011] 1_401,204.26063,-29.81835,*Cl,[SL2011] NGC 5236 1 401,204.260625,-29.81835,Cl*?,False
NGC 5236:[SL2011] 1_402,204.26083,-29.81807,*Cl,[SL2011] NGC 5236 1 402,204.260833,-29.818069,Cl*?,False
NGC 5236:[SL2011] 1_403,204.26362,-29.81904,*Cl,[SL2011] NGC 5236 1 403,204.263625,-29.819042,Cl*?,False
NGC 5236:[SL2011] 1_404,204.25308,-29.81508,*Cl,[SL2011] NGC 5236 1 404,204.253083,-29.815075,Cl*?,False
NGC 5236:[SL2011] 1_405,204.26779,-29.8204,*Cl,[SL2011] NGC 5236 1 405,204.267792,-29.820403,Cl*?,False
NGC 5236:[SL2011] 1_406,204.27033,-29.82111,*Cl,[SL2011] NGC 5236 1 406,204.270333,-29.821114,Cl*?,False
NGC 5236:[SL2011] 1_407,204.26225,-29.81768,*Cl,[SL2011] NGC 5236 1 407,204.26225,-29.817683,Cl*?,False
NGC 5236:[SL2011] 1_408,204.27133,-29.82079,*Cl,[SL2011] NGC 5236 1 408,204.271333,-29.820789,Cl*?,False
NGC 5236:[SL2011] 1_409,204.26496,-29.81818,*Cl,[SL2011] NGC 5236 1 409,204.264958,-29.818183,Cl*?,False
NGC 5236:[SL2011] 1_410,204.26058,-29.81655,*Cl,[SL2011] NGC 5236 1 410,204.260583,-29.816547,Cl*?,False
NGC 5236:[SL2011] 1_411,204.25958,-29.81566,*Cl,[SL2011] NGC 5236 1 411,204.259583,-29.815658,Cl*?,False
NGC 5236:[SL2011] 1_412,204.267,-29.81819,*Cl,[SL2011] NGC 5236 1 412,204.267,-29.818192,Cl*?,False
NGC 5236:[SL2011] 1_413,204.24904,-29.81118,*Cl,[SL2011] NGC 5236 1 413,204.249042,-29.811181,Cl*?,False
NGC 5236:[SL2011] 1_414,204.27408,-29.82049,*Cl,[SL2011] NGC 5236 1 414,204.274083,-29.820492,Cl*?,False
NGC 5236:[SL2011] 1_415,204.26921,-29.81848,*Cl,[SL2011] NGC 5236 1 415,204.269208,-29.818483,Cl*?,False
NGC 5236:[SL2011] 1_416,204.24892,-29.81083,*Cl,[SL2011] NGC 5236 1 416,204.248917,-29.810825,Cl*?,False
NGC 5236:[SL2011] 1_417,204.26925,-29.81832,*Cl,[SL2011] NGC 5236 1 417,204.26925,-29.818319,Cl*?,False
NGC 5236:[SL2011] 1_418,204.27458,-29.82021,*Cl,[SL2011] NGC 5236 1 418,204.274583,-29.820214,Cl*?,False
NGC 5236:[SL2011] 1_419,204.26054,-29.81484,*Cl,[SL2011] NGC 5236 1 419,204.260542,-29.814839,Cl*?,False
NGC 5236:[SL2011] 1_420,204.26667,-29.81705,*Cl,[SL2011] NGC 5236 1 420,204.266667,-29.81705,Cl*?,False
NGC 5236:[SL2011] 1_421,204.27462,-29.82001,*Cl,[SL2011] NGC 5236 1 421,204.274625,-29.820006,Cl*?,False
NGC 5236:[SL2011] 1_422,204.24842,-29.81023,*Cl,[SL2011] NGC 5236 1 422,204.248417,-29.810231,Cl*?,False
NGC 5236:[SL2011] 1_423,204.27454,-29.81981,*Cl,[SL2011] NGC 5236 1 423,204.274542,-29.819806,Cl*?,False
NGC 5236:[SL2011] 1_424,204.26508,-29.81509,*Cl,[SL2011] NGC 5236 1 424,204.265083,-29.815086,Cl*?,False
NGC 5236:[SL2011] 1_425,204.26617,-29.81504,*Cl,[SL2011] NGC 5236 1 425,204.266167,-29.815044,Cl*?,False
NGC 5236:[SL2011] 1_426,204.24992,-29.80885,*Cl,[SL2011] NGC 5236 1 426,204.249917,-29.808847,Cl*?,False
NGC 5236:[SL2011] 1_427,204.26667,-29.81495,*Cl,[SL2011] NGC 5236 1 427,204.266667,-29.81495,Cl*?,False
NGC 5236:[SL2011] 1_428,204.25067,-29.80779,*Cl,[SL2011] NGC 5236 1 428,204.250667,-29.807794,Cl*?,False
NGC 5236:[SL2011] 1_429,204.26596,-29.81329,*Cl,[SL2011] NGC 5236 1 429,204.265958,-29.813286,Cl*?,False
NGC 5236:[SL2011] 1_430,204.26204,-29.81171,*Cl,[SL2011] NGC 5236 1 430,204.262042,-29.811714,Cl*?,False
NGC 5236:[SL2011] 1_431,204.2715,-29.81495,*Cl,[SL2011] NGC 5236 1 431,204.2715,-29.81495,Cl*?,False
NGC 5236:[SL2011] 1_432,204.26533,-29.81234,*Cl,[SL2011] NGC 5236 1 432,204.265333,-29.812342,Cl*?,False
NGC 5236:[SL2011] 1_433,204.26562,-29.81219,*Cl,[SL2011] NGC 5236 1 433,204.265625,-29.812189,Cl*?,False
NGC 5236:[SL2011] 1_434,204.26821,-29.81312,*Cl,[SL2011] NGC 5236 1 434,204.268208,-29.813122,Cl*?,False
NGC 5236:[SL2011] 1_435,204.27013,-29.81311,*Cl,[SL2011] NGC 5236 1 435,204.270125,-29.813106,Cl*?,False
NGC 5236:[SL2011] 1_436,204.26992,-29.81284,*Cl,[SL2011] NGC 5236 1 436,204.269917,-29.812836,Cl*?,False
NGC 5236:[SL2011] 1_437,204.27242,-29.81343,*Cl,[SL2011] NGC 5236 1 437,204.272417,-29.813431,Cl*?,False
NGC 5236:[SL2011] 1_438,204.26742,-29.81151,*Cl,[SL2011] NGC 5236 1 438,204.267417,-29.811514,Cl*?,False
NGC 5236:[SL2011] 1_439,204.26596,-29.81076,*Cl,[SL2011] NGC 5236 1 439,204.265958,-29.810756,Cl*?,False
NGC 5236:[SL2011] 1_440,204.26487,-29.80904,*Cl,[SL2011] NGC 5236 1 440,204.264875,-29.809042,Cl*?,False
NGC 5236:[SL2011] 1_441,204.27171,-29.8115,*Cl,[SL2011] NGC 5236 1 441,204.271708,-29.8115,Cl*?,False
NGC 5236:[SL2011] 1_442,204.26421,-29.80804,*Cl,[SL2011] NGC 5236 1 442,204.264208,-29.808042,Cl*?,False
NGC 5236:[SL2011] 1_443,204.26858,-29.80937,*Cl,[SL2011] NGC 5236 1 443,204.268583,-29.809369,Cl*?,False
NGC 5236:[SL2011] 1_444,204.26558,-29.80824,*Cl,[SL2011] NGC 5236 1 444,204.265583,-29.808242,Cl*?,False
NGC 5236:[SL2011] 1_445,204.26504,-29.80576,*Cl,[SL2011] NGC 5236 1 445,204.265042,-29.805756,Cl*?,False
NGC 5236:[SL2011] 1_446,204.26779,-29.80649,*Cl,[SL2011] NGC 5236 1 446,204.267792,-29.806486,Cl*?,False
NGC 5236:[SL2011] 1_447,204.26475,-29.80477,*Cl,[SL2011] NGC 5236 1 447,204.26475,-29.804767,Cl*?,False
NGC 5236:[SL2011] 1_448,204.24271,-29.85449,*Cl,[SL2011] NGC 5236 1 448,204.242708,-29.854494,Cl*?,False
NGC 5236:[SL2011] 1_449,204.24496,-29.85342,*Cl,[SL2011] NGC 5236 1 449,204.244958,-29.853422,Cl*?,False
NGC 5236:[SL2011] 1_450,204.24675,-29.85366,*Cl,[SL2011] NGC 5236 1 450,204.24675,-29.853656,Cl*?,False
NGC 5236:[SL2011] 1_451,204.24679,-29.85357,*Cl,[SL2011] NGC 5236 1 451,204.246792,-29.853567,Cl*?,False
NGC 5236:[SL2011] 1_452,204.24842,-29.8511,*Cl,[SL2011] NGC 5236 1 452,204.248417,-29.8511,Cl*?,False
NGC 5236:[SL2011] 1_453,204.24817,-29.85019,*Cl,[SL2011] NGC 5236 1 453,204.248167,-29.850186,Cl*?,False
NGC 5236:[SL2011] 1_454,204.24879,-29.84958,*Cl,[SL2011] NGC 5236 1 454,204.248792,-29.849575,Cl*?,False
